vmt010140176028	2296	NTFS	E	VMWare Additional Disk Pool	20			Decommissioned
vmt010140176029	2307	NTFS	E	VMWare Additional Disk Pool	20			Decommissioned
vmt010140176029	2308	NTFS	F	VMWare Additional Disk Pool	20			Decommissioned
vmt010140176029	8379	NTFS	H	VMWare Additional Disk Pool	6			Decommissioned
vmd010140178001	2401	NTFS	F	VMWare Additional Disk Pool	50			Decommissioned
vmd010140178025	2891	NTFS	F	VMWare Additional Disk Pool	50			Decommissioned
vmd010140178026	2962	NTFS	F	VMWare Additional Disk Pool	50			Decommissioned
vmd010140178005	4232	NTFS	E	VMWare Additional Disk Pool	0			Operational
vmd010140178005	12457	NTFS	h	VMWare Additional Disk Pool	60			Operational
vmd010140178006	4242	NTFS	E	VMWare Additional Disk Pool	70			Operational
vmd010140178006	14464	NTFS	g	VMWare Additional Disk Pool	10			Operational
vmd010140178060	4455	NTFS	F	VMWare Additional Disk Pool	0			Decommissioned
vmd010140178060	15645	NTFS	h	VMWare Additional Disk Pool	2 000			Decommissioned
vmd010140178061	4383	NTFS	E	VMWare Additional Disk Pool	124			Decommissioned
vmt010140176034	4465	NTFS	F	VMWare Additional Disk Pool	350			Operational
vmt010140176034	8760	NTFS	H	VMWare Additional Disk Pool	2 048			Decommissioned
vmt010140176034	8769	NTFS	H	VMWare Additional Disk Pool	1 950			Operational
vmt010140176034	8781	NTFS	I	VMWare Additional Disk Pool	1 200			Operational
vmd010140178043	12444	NTFS	g	VMWare Additional Disk Pool	40			Operational
vmd010140178043	13261	NTFS	H	VMWare Additional Disk Pool	285			Operational
vmd010140178043	4829	NTFS	F	VMWare Additional Disk Pool	0			Operational
vmd010140178042	5050	jfs2	data	AIX Storage Pool	30	datavm	datavg	Decommissioned
vmt010140176047	5067	jfs2	data	AIX Storage Pool	30	datavm	datavg	Decommissioned
vmt010140176059	5186	NTFS	F	VMWare Additional Disk Pool	70			Operational
vmt010140176006	2649	NTFS	e	VMWare Additional Disk Pool	100			Decommissioned
vmt010140176005	2650	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
vmt010140176008	2651	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
vmt010140176036	2643	NTFS	e	VMWare Additional Disk Pool	20			Operational
vmt010140176037	2645	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
vmt010140176040	2646	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
vmt010140176041	2647	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
vmt010140176042	2648	NTFS	e	VMWare Additional Disk Pool	30			Decommissioned
