GOH KAS 190819	GOH KAS 190819		19/08/2019	9999-12-30 00:00:00	Operational	19/08/2019 - 12:25
GOH SMF TOTAAL 2018	GOH SMF TOTAAL 2018		11/06/2018	9999-12-30 00:00:00	Operational	11/06/2018 - 14:59
GOH Sonar IP2018	GOH Sonar IP2018		06/08/2019	9999-12-30 00:00:00	Operational	06/08/2019 - 15:16
goh-drl	goh-drl		23/09/2019	9999-12-30 00:00:00	Operational	23/09/2019 - 14:20
GOH_DEV_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		25/09/2019	9999-12-30 00:00:00	CANCELED	25/09/2019 - 06:56
GOH_DEV_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		25/09/2019	9999-12-30 00:00:00	DRAFT	25/09/2019 - 07:14
GOH_DEV_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		25/09/2019	9999-12-30 00:00:00	CANCELED	25/09/2019 - 07:25
GOH_POL_LEV_19	Polis Leveren GOH Nw Dev		25/09/2019	9999-12-30 00:00:00	DRAFT	25/09/2019 - 07:34
GOH_POL_LEV_19	Polis Leveren GOH Nw Dev		25/09/2019	9999-12-30 00:00:00	CANCELED	25/09/2019 - 07:45
GOH_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgevin		07/10/2019	9999-12-30 00:00:00	CANCELED	07/10/2019 - 13:27
GOH_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		07/10/2019	9999-12-30 00:00:00	Operational	07/10/2019 - 14:34
GOH_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		26/09/2019	9999-12-30 00:00:00	CANCELED	26/09/2019 - 10:21
GOH_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		01/10/2019	9999-12-30 00:00:00	CANCELED	01/10/2019 - 07:32
GOH_POL_LEV_2019	Polis Leveren GOH Nieuwe Ontwikkel-omgeving		02/10/2019	9999-12-30 00:00:00	DECOMMISSIONED	07/10/2019 - 12:47
HAKO	Hotel Applicatie Keten Omgeving		12/10/2018	9999-12-30 00:00:00	CANCELED	12/10/2018 - 12:56
HAKO	Hotel Applicatie Keten Omgeving		12/10/2018	9999-12-30 00:00:00	DRAFT	12/10/2018 - 13:04
HAKO	Hotel Applicatie Keten Omgeving		12/10/2018	9999-12-30 00:00:00	Operational	12/10/2018 - 13:20
HGO	HGO	Kees Brent	04/11/2015	9999-12-30 00:00:00	DECOMMISSIONED	28/05/2018 - 09:19
HGO_oracle	HGO Oracle		31/08/2016	9999-12-30 00:00:00	Operational	31/08/2016 - 12:16
HI-Postcode	HI-Postcode		24/10/2018	9999-12-30 00:00:00	Operational	24/10/2018 - 10:31
HOWW	HOWW		17/04/2019	9999-12-30 00:00:00	Operational	17/04/2019 - 11:33
HRM_IV_OCR	OCR Server voor Corona Crisis Aanvragen		25/03/2020	9999-12-30 01:00:00	CANCELED	25/03/2020 - 19:19
HRM_IV_OCR	TBV Noodmaatregel crisisaanvragen		26/03/2020	9999-12-30 01:00:00	DECOMMISSIONED	06/04/2020 - 12:13
IBM test	IBM test		25/07/2018	9999-12-30 00:00:00	DECOMMISSIONED	25/07/2018 - 16:00
IBM-RHELOracle	IBM-RHELOracle		12/08/2016	9999-12-30 00:00:00	DECOMMISSIONED	26/08/2016 - 16:06
IBM-test	v		25/07/2018	9999-12-30 00:00:00	DECOMMISSIONED	25/07/2018 - 18:39
imagebackuptest	testtest		07/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	13/05/2013 - 11:00
Inspire	Inspire Groot Onderhoud		01/05/2015	9999-12-30 00:00:00	Operational	01/05/2015 - 11:13
Internal Acces Server	Internal Acces Server		24/10/2019	9999-12-30 00:00:00	Operational	24/10/2019 - 12:33
Invlechten	Invlechten Werkbedrijf		09/12/2019	9999-12-30 01:00:00	Operational	09/12/2019 - 10:18
IQ	Project Inleenadministratie en Quotumheffing		16/05/2017	9999-12-30 00:00:00	DECOMMISSIONED	10/04/2019 - 17:09
ITM test	ITM BU test		29/07/2013	2013-08-12 10:52:00	DECOMMISSIONED	29/07/2013 - 14:36
itmsavedtest1	dffsdf		07/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	07/05/2013 - 15:30
ITMtest2	BackUP		29/07/2013	2013-08-12 13:23:00	DECOMMISSIONED	29/07/2013 - 16:07
ITMtest3	Incident test		31/07/2013	2013-08-14 09:51:00	CANCELED	31/07/2013 - 11:54
ITMtest4	Hertest		31/07/2013	2013-08-14 10:46:00	CANCELED	31/07/2013 - 12:49
ITMtest5	Hertest		31/07/2013	2013-08-14 10:51:00	CANCELED	31/07/2013 - 12:53
itmtest6	test		05/08/2013	2013-08-19 07:46:00	DECOMMISSIONED	05/08/2013 - 10:22
IV-Dashboard	IV-Dashboard		19/12/2019	9999-12-30 01:00:00	Operational	19/12/2019 - 11:43
IV-Dashboard	IV-Dashboard		19/12/2019	9999-12-30 01:00:00	DRAFT	19/12/2019 - 10:30
Jira	Jira		04/11/2014	9999-12-30 00:00:00	CANCELED	04/11/2014 - 14:49
